,w1,w2,ground_truth,prediction
1215,stop_retained_variant,intron_variant&non_coding_transcript_variant,0.0,0.0
1216,beige/black,beige & black,1.0,1.0
1217,saudi arabia,uzbekistan,0.0,0.0
1218,"6,5","5,8",0.0,0.0
1219,spain,samoa,0.0,0.0
1220,bdi,bdi,1.0,1.0
1221,a1050000000wf0q,a10500000075ine,0.0,0.0
1222,gresham - northeast gresh,laurelhurst,0.0,0.0
1223,honey/white,white/honey,1.0,1.0
1224,mbe wbe,ca-sb sb wosb,0.0,0.0
1225,ecuador,djibouti,0.0,0.0
1226,"macedonia, fyr",puerto rico,0.0,0.0
1227,sable/tan,tan & sable,1.0,1.0
1228,accommodation and food service activities,financial and insurance activities,0.0,0.0
1229,canada,cameroon,0.0,0.0
1230,"general managers/managing proprietors in transportation, storage and communications","rattan, bamboo and other wicker furniture makers",0.0,0.0
1231,rosedale,college grove,0.0,0.0
1232,217,hldoth,0.0,0.0
1233,alabama,al,1.0,1.0
1234,it,ar,0.0,0.0
1235,japan,chile,0.0,0.0
1236,sex offenses,motor vehicle theft,0.0,0.0
1237,ar,sk,0.0,0.0
1238,6,"22,32",0.0,0.0
1239,steel,bug,0.0,0.0
1240,agriculture_forestry_and_fishing_a,financial_and_insurance_activities_k,0.0,0.0
1241,layer 2 up,layer 3 up,0.0,1.0
1242,td,fm,0.0,0.0
1243,dominican republic,fiji,0.0,0.0
1244,lka,afg,0.0,0.0
1245,km,ky,0.0,0.0
1246,transportation and storage,"professional, scientific, technical, administrative and support service activities",0.0,0.0
1247,orjans vall,jose zorrilla,0.0,0.0
1248,employer type,securities lending fees,0.0,0.0
1249,lgbt,health & wellbeing,0.0,0.0
1250,quito cabify lite,santo domingo uberxl,0.0,0.0
1251,individual_consumption_expenditure,collective_consumption_expenditure,0.0,1.0
1252,gresham - hollybrook,healy heights,0.0,0.0
1253,south portland,st johns,0.0,0.0
1254,142,570,0.0,0.0
1255,20,30,0.0,0.0
1256,in,al,0.0,0.0
1257,calorie posting / re-inspection,calorie posting / compliance inspection,0.0,1.0
1258,construction,health care,0.0,0.0
1259,jujuy,salento,0.0,0.0
1260,biotechnology/pharmaceuticals; healthcare services; medical devices and supplies,biotechnology/pharmaceuticalshealthcare servicesmedical devices and supplies,1.0,1.0
1261,steel,grass,0.0,0.0
1262,togo,moldova/russia/(transdniestria),0.0,0.0
1263,zon,sch,0.0,0.0
1264,25,69,0.0,0.0
1265,brown,white,0.0,0.0
1266,uaalyearestablished,assetvalmeth_gasb,0.0,0.0
1267,albania,hungary,0.0,0.0
1268,moving & storage,prkng garage/private,0.0,0.0
1269,powl,glen,0.0,0.0
1270,splice_region_variant&5_prime_utr_variant,downstream_gene_variant,0.0,0.0
1271,ga,georgia,1.0,0.0
1272,ven,blr,0.0,0.0
1273,splice_region_variant&coding_sequence_variant&intron_variant,tf_binding_site_variant,0.0,0.0
1274,ud,td,0.0,0.0
1275,a1050000002xxpw,a1050000000dasp,0.0,0.0
1276,bahamas,mauritania,0.0,0.0
1277,new jersey,nj,1.0,0.0
1278,repositioning,prep,0.0,0.0
1279,florida,oregon,0.0,0.0
1280,orange/black,black/orange,1.0,1.0
1281,linear mixed-effect model estimates,sum,0.0,0.0
1282,az,pa,0.0,0.0
1283,maf,cog,0.0,0.0
1284,south carolina,california,0.0,0.0
1285,togo,kyrgyzstan,0.0,0.0
1286,00730-2926,00725-3763,0.0,0.0
1287,irvington,central beaverton,0.0,0.0
1288,extract,biab,0.0,0.0
1289,powelhst-gilbrt,sullivans gulch,0.0,0.0
1290,nam,ner,0.0,0.0
1291,kenya,palestine,0.0,0.0
1292,greece,mexico,0.0,0.0
1293,hillside,roseway,0.0,0.0
1294,11,saudi arabia,0.0,0.0
1295,tto,chn,0.0,0.0
1296,human resources assistant,human resource assistant,1.0,1.0
1297,traveling sales,land rental,0.0,0.0
1298,north dakota,new mexico,0.0,0.0
1299,burkina faso,somalia,0.0,0.0
1300,sc,ri,0.0,0.0
1301,united states,niger,0.0,0.0
1302,new caledonia,west bank and gaza,0.0,0.0
1303,cmr,cmr,1.0,1.0
1304,kaz,pak,0.0,0.0
1305,paralegal,paralegal,1.0,1.0
1306,q23framestruts,q21corecompdebugging,0.0,0.0
1307,711,651,0.0,0.0
1308,other,clean energy,0.0,0.0
1309,education_p,construction_f,0.0,0.0
1310,indiana,wisconsin,0.0,0.0
1311,mt scott-arleta,gresham - powell valley,0.0,0.0
1312,t16,t21,0.0,0.0
1313,colombia,south africa,0.0,0.0
1314,king charles spaniel cross,king charles spaniel cross,1.0,1.0
1315,hosfrd-abrnethy,lkos - oak creek,0.0,0.0
1316,pie,asn,0.0,0.0
1317,attorney at law,attorney at law,1.0,1.0
1318,pic,fri,0.0,0.0
1319,"iran, islamic republic of",ecuador,0.0,0.0
1320,gbr,mus,0.0,0.0
1321,201,972,0.0,0.0
1322,owner,owner,1.0,1.0
1323,william,williams,1.0,1.0
1324,"vocational education teachers, postsecondary",vocational education teachers postsecondary,1.0,1.0
1325,michigan,west virginia,0.0,0.0
1326,coteaux d'ancenis,dolcetto d'alba,0.0,0.0
1327,saint vincent and the grenadines,israel,0.0,0.0
1328,immigration consultant,immigration consultant,1.0,1.0
1329,former ethiopia,georgia,0.0,0.0
1330,al,ga,0.0,0.0
1331,hti,arm,0.0,0.0
1332,robbery,forgery,0.0,0.0
1333,board of state and community corrections,emergency medical services authority,0.0,0.0
1334,ic.gov.durs.zs,ic.cus.durs.ex,0.0,0.0
1335,equals_saving_net,plus_property_income_from_and_to_the_rest_of_the_world_net,0.0,0.0
1336,tuvalu,cabo verde,0.0,0.0
1337,eskilstuna,leipzig,0.0,0.0
1338,manufacturing_isic_d,mining_manufacturing_utilities_isic_c_e,0.0,0.0
1339,"9,16","7,17",0.0,0.0
1340,wholesale_and_retail_trade_transportation_and_storage_accommodation_and_food_service_activities_g_h_i,professional_scientific_technical_administrative_and_support_service_activities_m_n,0.0,0.0
1341,democratic republic of the congo,senegal,0.0,0.0
1342,ai,is,0.0,0.0
1343,"5,7",9,0.0,0.0
1344,alaska,north carolina,0.0,0.0
1345,other_service_activities,plus_taxes_less_subsidies_on_products,0.0,0.0
1346,black or african american,native hawaiian or other pacific islander,0.0,0.0
1347,vanderburgh county,pierce county,0.0,0.0
1348,severely endangered,definitely endangered,0.0,1.0
1349,327,478,0.0,0.0
1350,bass clarinet/tenor saxophone,flute,0.0,0.0
1351,gresham - wilkes east,lkos - bryant,0.0,0.0
1352,trinidad and tobago,mexico,0.0,0.0
1353,jam,lva,0.0,0.0
1354,piedmont,sellwd-moreland,0.0,0.0
1355,kallmet,saperavi,0.0,0.0
1356,euro,euro,1.0,1.0
1357,"21,23","7,8",0.0,0.0
1358,che,nga;usa,0.0,0.0
1359,east asia and pacific,south asia,0.0,0.0
1360,asl-sign-languages,asl,1.0,1.0
1361,vanuatu,tuvalu,0.0,0.0
1362,sq,uk,0.0,0.0
1363,moldova,guadeloupe,0.0,0.0
1364,israel,argentina;bahamas,0.0,0.0
1365,woak,frmt,0.0,0.0
1366,burundi,kiribati,0.0,0.0
1367,turks and caicos islands,19,0.0,0.0
1368,lr,gu,0.0,0.0
1369,colorado,co,1.0,1.0
1370,malta,spain,0.0,0.0
1371,"5,14","1,9",0.0,0.0
1372,maine,arizona,0.0,0.0
1373,belize,angola,0.0,0.0
1374,chilean,thai,0.0,0.0
1375,prostitution,burglary,0.0,0.0
1376,madagascar,fiji,0.0,0.0
1377,still image,literature/specimen,0.0,0.0
1378,pizza/pepperoni,nginx (openbsd),0.0,0.0
1379,mbe sb sdvosb,ca-dvbe ca-sb,0.0,0.0
1380,northeast,southeast,0.0,0.0
1381,switzerland,"germany, federal republic of",0.0,0.0
1382,other service activities (s),wholesale and retail trade; repair of motor vehicles and motorcycles (g),0.0,0.0
1383,white,native hawaiian or other pacific islander,0.0,0.0
1384,dark,water,0.0,0.0
1385,year,yr,1.0,0.0
1386,malaysian,british,0.0,0.0
1387,md,ma,0.0,0.0
1388,wholesale_retail_trade_repair_of_motor_vehicles_motorcycles_and_personal_and_households_goods_hotels_and_restaurants,equals_gross_domestic_product,0.0,0.0
1389,iran (islamic rep. of),slovenia,0.0,0.0
1390,vu,sc,0.0,0.0
1391,bahrain grand prix,dallas grand prix,0.0,0.0
1392,moorabool shire council,glen eira city council,0.0,0.0
1393,grd,zmb,0.0,0.0
1394,ms,tx,0.0,0.0
1395,embezzlement,vandalism,0.0,0.0
1396,hillside,downtown,0.0,0.0
1397,plus_statistical_discrepancy,exports_of_goods,0.0,0.0
1398,e columbia,pearl,0.0,0.0
1399,20/07/2012,28/01/2011,0.0,0.0
1400,ground,ghost,0.0,0.0
1401,sfia,warm,0.0,0.0
1402,rape,duii,0.0,0.0
1403,austria,malaysia,0.0,0.0
1404,demolitions,additions alterations or repairs,0.0,0.0
1405,lkos - mountain park,beaverton - five oaks,0.0,0.0
1406,bermuda;germany;switzerland;united states,canada,0.0,0.0
1407,special data dissemination standard plus (sdds+),special data dissemination standard (sdds),0.0,1.0
1408,algeria,uruguay,0.0,0.0
1409,new york,"new york,",1.0,1.0
1410,north carolina,massachusetts,0.0,0.0
1411,w60,881,0.0,0.0
1412,definitely endangered,severely endangered,0.0,1.0
1413,21,510,0.0,0.0
1414,wy,wyoming,1.0,1.0
1415,beaverton - west slope,hazelwood,0.0,0.0
1416,ca-sb ca-sbe cdvbe dbe mosb sb,ca-dvbe ca-mb ca-sb ca-sbe cdvbe sb,0.0,0.0
1417,hearing aid compatibility of wireline phones,junk faxes,0.0,0.0
1418,brindle/tan,brindle & tan,1.0,1.0
1419,radio & tv stations,paint store,0.0,0.0
1420,tanzania shilling,tanzanian shilling,1.0,1.0
1421,tjk,bra,0.0,0.0
1422,case manager/paralegal,case manager/paralegal,1.0,1.0
1423,ireland,ecuador,0.0,0.0
1424,singapore,9,0.0,0.0
1425,dollars,ratio,0.0,0.0
1426,ne,nm,0.0,0.0
1427,strategy consultancy jobs,security safety jobs,0.0,0.0
1428,d304,p,0.0,0.0
1429,michigan,oklahoma,0.0,0.0
1430,con,nxs,0.0,0.0
1431,brb,slv,0.0,0.0
1432,local_04,local_01,0.0,0.0
1433,nbrk,embr,0.0,0.0
1434,pacific heights,presidio,0.0,0.0
1435,art4_0,cvd1_1,0.0,0.0
1436,slovak koruna,slovak koruna,1.0,1.0
1437,apricot fawn,apricot & fawn,1.0,1.0
1438,brfss,"birth certificate, nvss",0.0,0.0
1439,bull mastiff x,bullmastiff x,1.0,1.0
1440,a1050000006tnqi,a1050000000wves,0.0,0.0
1441,mining and oil and gas services,sports and recreational equipment and supplies and accessories,0.0,0.0
1442,sen,sut,0.0,0.0
1443,nzl,npl,0.0,0.0
1444,cully,mill park,0.0,0.0
1445,dog (standard),dog (declared dangerous),0.0,0.0
1446,niger,benin,0.0,0.0
1447,"7,9","4,5",0.0,0.0
1448,peru,jersey,0.0,0.0
1449,illinois,idaho,0.0,0.0
1450,"prints ""hello, world!"" n times",prints all numbers up to n,0.0,0.0
1451,"general services, department of","controller, state",0.0,0.0
1452,"assault, simple",prostitution,0.0,0.0
1453,arnold creek,richmond,0.0,0.0
1454,arkansas,illinois,0.0,0.0
1455,electronics and communications engineering technicians,baked goods and cereal and chocolate products machine operators,0.0,0.0
1456,oregon,maryland,0.0,0.0
1457,rand,rand,1.0,1.0
1458,ireland,israel,0.0,0.0
1459,d.,d,1.0,0.0
1460,spain,netherlands,0.0,0.0
1461,district of columbia,dc,1.0,0.0
1462,open,open,1.0,1.0
1463,svk,ecs,0.0,0.0
1464,nelspruit,manchester,0.0,0.0
1465,cully,parkrose,0.0,0.0
1466,carnegie hall,carnegie chamber music hall at carnegie hall,1.0,1.0
1467,nc,mn,0.0,0.0
1468,diversified financial services,oil & gas exploration & production,0.0,0.0
1469,116,162,0.0,0.0
1470,president,president,1.0,1.0
1471,mx,pf,0.0,0.0
1472,south africa,argentina,0.0,0.0
1473,v,iii,0.0,0.0
1474,saudi arabia,falkland islands,0.0,0.0
1475,repositioning,layer 1 down,0.0,0.0
1476,30,20,0.0,0.0
1477,ii,iii,0.0,0.0
1478,new mexico,nm,1.0,0.0
1479,10,872,0.0,0.0
1480,mauritania,bahamas,0.0,0.0
1481,english,seafood,0.0,0.0
1482,z16,r3z2,0.0,0.0
1483,azerbaijan,china,0.0,0.0
1484,at,no,0.0,0.0
1485,"san francisco, ca","san francisco ca, ca 94107",1.0,1.0
1486,bmu;can;col,sgp,0.0,0.0
1487,denmark,48,0.0,0.0
1488,other_coal_products,black_liquor,0.0,0.0
1489,columbia valley,southern oregon,0.0,0.0
1490,kcfcc award,amanda,0.0,0.0
1491,931,510,0.0,0.0
1492,multnomah,lloyd,0.0,0.0
1493,"minnetonka, mn","minnetonka, mn 55343",1.0,1.0
1494,private households with employed persons,"professional, scientific and technical activities",0.0,0.0
1495,armenia,hungary,0.0,0.0
1496,iss,impoth,0.0,0.0
1497,broadcast,wireless,0.0,0.0
1498,spiritual awareness and spiritual awareness events,spiritual awareness,1.0,1.0
1499,galilee,elqui valley,0.0,0.0
1500,"30,31",24,0.0,0.0
1501,netherlands,anguilla,0.0,0.0
1502,agriculture,mobile money and ict,0.0,0.0
1503,samos,east coast,0.0,0.0
1504,less_direct_purchases_in_domestic_market_by_non_residents,equals_total_actual_individual_consumption,0.0,0.0
1505,united arab emirates,germany,0.0,0.0
1506,ecuador,ghana,0.0,0.0
1507,palace of arts (bela bartók national concert hall),palace of arts  (bela bartók national concert hall),1.0,1.0
1508,equals_gross_national_disposable_income,less_property_income_to_the_rest_of_the_world,0.0,0.0
1509,material handling and conditioning and storage machinery and their accessories and supplies,politics and civic affairs services,0.0,0.0
1510,guarantees,gef medium sized program,0.0,0.0
1511,valdiguié,premsal,0.0,0.0
1512,w portland park,healy heights,0.0,0.0
1513,washington,wa,1.0,1.0
1514,ashcreek,maplewood,0.0,0.0
1515,al,alabama,1.0,1.0
1516,layer 3 down,layer 2 up,0.0,0.0
1517,guatemala,charlotte ama,0.0,0.0
1518,andorra,nepal,0.0,0.0
1519,q01,s05,0.0,0.0
1520,160,895,0.0,0.0
1521,startup90,sw7co,0.0,0.0
1522,96921-6443,00831-1005,0.0,0.0
1523,bichon frise cross,bichon frise cross,1.0,1.0
1524,castle rock,west hills,0.0,0.0
1525,richmond,dwrw,0.0,0.0
1526,malaysia,honduras,0.0,0.0
1527,baltimore,kentucky,0.0,0.0
1528,tanzania shilling,tanzanian shilling,1.0,1.0
1529,greece,nigeria;united states,0.0,0.0
1530,"dallas, tx 75202","dallas, tx",1.0,1.0
1531,consumer staples,industrials,0.0,0.0
1532,st. louis,philadelphia,0.0,0.0
1533,lu,us,0.0,0.0
1534,n,n,1.0,1.0
1535,sk,me,0.0,0.0
1536,en,ja,0.0,0.0
1537,other_services,equals_individual_consumption_expenditure_of_general_government,0.0,0.0
1538,vt,vermont,1.0,0.0
1539,pk,bl,0.0,0.0
1540,00765-0000,00960-2300,0.0,0.0
1541,alabama,kansas,0.0,0.0
1542,puerto rico,sierra leone,0.0,0.0
1543,gap-filled total,weighted average,0.0,0.0
1544,"inspector general, office of the","insurance, department of",0.0,0.0
1545,nevada,rhode island,0.0,0.0
1546,741,841,0.0,0.0
1547,sp.dyn.amrt.ma,ic.frm.outg.zs,0.0,0.0
1548,pre-permit (non-operational) / compliance inspection,cycle inspection / re-inspection,0.0,0.0
1549,refinancing,home purchase,0.0,0.0
1550,acquisitions_less_disposals_of_valuables,exports_of_goods,0.0,0.0
1551,children's chorus,elementary chorus,0.0,0.0
1552,bmu,guf,0.0,0.0
1553,azerbaijan,australia,0.0,0.0
1554,poland,uzbekistan,0.0,0.0
1555,kiribati,burundi,0.0,0.0
1556,austin,nashville-davidson,0.0,0.0
1557,austria,belarus,0.0,0.0
1558,switzerland,ghana,0.0,0.0
1559,guy,bol,0.0,0.0
1560,vulnerable,critically endangered,0.0,0.0
1561,wl2,10,0.0,0.0
1562,layer 2 down,end,0.0,0.0
1563,lynx,flame,0.0,0.0
1564,352,872,0.0,0.0
1565,saint vincent and the grenadines,sao tome and principe,0.0,0.0
1566,cayman islands,cyprus,0.0,0.0
1567,roter veltliner,viura,0.0,0.0
1568,annual membership (charlotte b-cycle),annual (omaha b-cycle),0.0,0.0
1569,new single-family housing construction (except operative builders),dental laboratories,0.0,0.0
1570,outside immigration counsel,outside immigration counsel,1.0,1.0
1571,santiago,león uberx,0.0,0.0
1572,côtes du lot,orcia,0.0,0.0
1573,cub,eca,0.0,0.0
1574,annual pass,republic rider,0.0,0.0
1575,youth volunteer's union,recycled material activities,0.0,0.0
1576,"land transport; transport via pipelines, water transport; air transport; supporting and auxiliary transport activities; activities of travel agencies","other community, social and personal services",0.0,0.0
1577,62,67,0.0,0.0
1578,apprenticeships jobs,social care jobs,0.0,0.0
1579,bhs,lte,0.0,0.0
1580,north dakota,indiana,0.0,0.0
1581,eg,g,0.0,0.0
1582,apricot & fawn,apricot fawn,1.0,1.0
1583,sub-saharan africa,east asia & pacific,0.0,0.0
1584,kentucky,baltimore,0.0,0.0
1585,gl1,931,0.0,0.0
1586,monaco,tinian,0.0,0.0
1587,real estate activities,wholesale and retail trade; repair of motor vehicles and motorcycles,0.0,0.0
1588,kentucky,los angeles county,0.0,0.0
1589,elementary chorus,children's chorus,0.0,0.0
1590,pyrenees,pomino,0.0,0.0
1591,attorney for ghafari associates llc,attorney to ghafari associates,1.0,1.0
1592,foster-powell,northwest ind,0.0,0.0
1593,611,070,0.0,0.0
1594,drugs,embezzlement,0.0,0.0
1595,forgery,liquor laws,0.0,0.0
1596,santo domingo uberxl,quito cabify lite,0.0,0.0
1597,ca-mb ca-sb ca-sbe dbe mbe sb sbasdb,ca-mb ca-sb wbe wosb,0.0,0.0
1598,siegerrebe,red blend,0.0,0.0
1599,manufacturing_mining_and_quarrying_and_other_industrial_activities,financial_and_insurance_activities,0.0,0.0
1600,tree,tree,1.0,1.0
1601,10,"18,19",0.0,0.0
1602,34,colombia,0.0,0.0
1603,contrabassoon,oboe,0.0,0.0
1604,pataca,pataca,1.0,1.0
1605,heat,sub_bituminous_coal,0.0,0.0
1606,cn,5pm,0.0,0.0
1607,germany,united arab emirates,0.0,0.0
1608,src,ifc,0.0,0.0
1609,botswana,georgia,0.0,0.0
1610,louisiana,missouri,0.0,0.0
1611,"counsel for ics, inc.","counsel for integrated computer solutions, inc.",1.0,1.0
1612,tunisia,nicaragua,0.0,0.0
1613,hayden island,woodlawn,0.0,0.0
1614,gambling,motor vehicle theft,0.0,0.0
1615,tuesday,thursday,0.0,0.0
1616,hungary,italy,0.0,0.0
1617,aggravated assault,weapons,0.0,0.0
1618,crémant de bordeaux,corse,0.0,0.0
1619,coliseum,college auditorium,1.0,1.0
1620,armenia,"china, hong kong sar",0.0,0.0
1621,layer 2 down,layer 2 up,0.0,0.0
1622,armenia/azerbaijan/russia/(nagorno-karabakh),cambodia,0.0,0.0
1623,property & casualty insurance,health care technology,0.0,0.0
1624,25,tonga,0.0,0.0
1625,it telecommunications,non-it services,0.0,0.0
1626,tonyelumelufdn,c4dlab,0.0,0.0
1627,bahamas,burkina faso,0.0,0.0
1628,uah,cny,0.0,0.0
1629,albania,belarus,0.0,0.0
1630,abu dhabi,california,0.0,0.0
1631,retailrental servicesrestaurant/food services,retail; rental services; restaurant/food services,1.0,1.0
1632,59,3,0.0,0.0
1633,mn,nd,0.0,0.0
1634,sitting,walking,0.0,0.0
1635,gresham - wilkes east,arlington hghts,0.0,0.0
1636,a,h,0.0,0.0
1637,yemen,fiji,0.0,0.0
1638,nevada,north carolina,0.0,0.0
1639,mcar,wcrk,0.0,0.0
1640,bagels/pretzels,korean,0.0,0.0
1641,cl,bt,0.0,0.0
1642,wholesale_retail_trade_repair_of_motor_vehicles_motorcycles_and_personal_and_household_goods,forestry_logging_and_related_service_activities,0.0,0.0
1643,orange & white,orange/white,1.0,1.0
1644,nm,new mexico,1.0,0.0
1645,guf,bmu,0.0,0.0
1646,httpdaemon,mw2192.codfw.wmnet,0.0,0.0
1647,moldova/russia/(transdniestria),togo,0.0,0.0
1648,lincoln square,lincoln square theatre,1.0,1.0
1649,nc,mo,0.0,0.0
1650,ci,ls,0.0,0.0
1651,new zealand,romania,0.0,0.0
1652,armenia,czech republic,0.0,0.0
1653,13,"1,14",0.0,0.0
1654,poodle standard,poodle (standard),1.0,1.0
1655,ethiopia,benin,0.0,0.0
1656,6,"4,11,14",0.0,0.0
1657,asset valuation method,net increase/(decrease) in fair value of investments,0.0,0.0
1658,collective_consumption_expenditure,individual_consumption_expenditure,0.0,1.0
1659,"excludes education, human health and social work activities","includes professional, scientific and technical activities (m), and administrative and support service activities (n) of isic rev. 4 industry classification.",0.0,0.0
1660,asian or pacific islander,"white, non-hispanic",0.0,0.0
1661,de,pr,0.0,0.0
1662,sports and recreational equipment and supplies and accessories,mining and oil and gas services,0.0,0.0
1663,vermont,pennsylvania,0.0,0.0
1664,860,641,0.0,0.0
1665,balance_of_payments_export_prices,depository_corporations_survey_monetary_survey_capital_and_unclassified_liabilities,0.0,0.0
1666,university armory,university armory hall,1.0,1.0
1667,los angeles county,kentucky,0.0,0.0
1668,pre-permit (non-operational) / re-inspection,pre-permit (operational) / second compliance inspection,0.0,0.0
1669,"boston, ma 94501","boston, ma",1.0,1.0
1670,trading education,trader education,1.0,1.0
1671,china,tajikistan,0.0,0.0
1672,hp4,550,0.0,0.0
1673,semester membership,annual membership (fort worth bike sharing),0.0,0.0
1674,642,971,0.0,0.0
1675,vermont,florida,0.0,0.0
1676,116,800,0.0,0.0
1677,aq,id,0.0,0.0
1678,temple,retail sales,0.0,0.0
1679,mental health,immunization,0.0,0.0
1680,e_bus,e_peoth,0.0,0.0
1681,x05,z14a,0.0,0.0
1682,republic rider,annual pass,0.0,0.0
1683,"16,33","3,4",0.0,0.0
1684,south america,papunesia,0.0,0.0
1685,830,130,0.0,0.0
1686,cocker spaniel cross,cocker spaniel cross,1.0,1.0
1687,ny,ky,0.0,0.0
1688,baco noir,trepat,0.0,0.0
1689,chile,madagascar,0.0,0.0
1690,estonia,rwanda,0.0,0.0
1691,retailtelecommunications servicesadvertising and pr services,retail;telecommunications services;advertising and pr services,1.0,1.0
1692,runaway,homicide,0.0,0.0
1693,yoga awards,"showest convention, usa",0.0,0.0
1694,singapore,brazil,0.0,0.0
1695,burkina faso,malaysia,0.0,0.0
1696,southern oregon,columbia valley,0.0,0.0
1697,kenya,oman,0.0,0.0
1698,"paralegal, llm, llmc","paralegal, llm, llmc",1.0,1.0
1699,netherlands,palestinian territories,0.0,0.0
1700,south san francisco,san francisco,1.0,1.0
1701,grc,fra,0.0,0.0
1702,interference,emergency information on tv,0.0,0.0
1703,korea republic,canada,0.0,0.0
1704,ukraine,england,0.0,0.0
1705,motor vehicle theft,drugs,0.0,0.0
1706,ca-sb ca-sbe dbe mbe mosb sb,ca-mb ca-sb ca-sbe mosb sb,0.0,0.0
1707,samoa,spain,0.0,0.0
1708,opes,wsx,0.0,0.0
1709,walk of fame,venice film festival,0.0,0.0
1710,"1,14",13,0.0,0.0
1711,ssan,phil,0.0,0.0
1712,billing,speed,0.0,0.0
1713,black/ginger,ginger/black,1.0,1.0
1714,362,204,0.0,0.0
1715,lo2,300,0.0,0.0
1716,sh,300,0.0,0.0
1717,west bank and gaza,canada,0.0,0.0
1718,oklahoma,maine,0.0,0.0
1719,king,gresham - kelly creek,0.0,0.0
1720,sierra nevada conservancy,"administrative law, office of",0.0,0.0
1721,richmond,arnold creek,0.0,0.0
1722,22,12,0.0,0.0
1723,mill park,university park,0.0,0.0
1724,mnc,manna,0.0,0.0
1725,human_health_and_social_work_activities,less_subsidies_on_products,0.0,0.0
1726,are,gbr,0.0,0.0
1727,samoyed cross,samoyed cross,1.0,1.0
1728,management counsel,management counsel,1.0,1.0
1729,dubl,rock,0.0,0.0
1730,oh,ca,0.0,0.0
1731,trento,falanghina del beneventano,0.0,0.0
1732,so,ss,0.0,0.0
1733,paraguay,mali,0.0,0.0
1734,kuala lumpur,nì_rburg,0.0,0.0
1735,motor_gasoline,geothermal,0.0,0.0
1736,suborder,species,0.0,0.0
1737,tide_wave_and_ocean_electricity,paraffin_waxes,0.0,0.0
1738,sg,ku,0.0,0.0
1739,1999 nlg euro / euro,1999 nlg euro / euro,1.0,1.0
1740,olympiastadion,westfalenstadion,0.0,0.0
1741,cowan miller and lederman,cowan miller & lederman,1.0,1.0
1742,ireland,portugal,0.0,0.0
1743,oporto,krakow,0.0,0.0
1744,estonia,uganda,0.0,0.0
1745,cambodia,monaco,0.0,0.0
1746,fairy,water,0.0,0.0
1747,19,turks and caicos islands,0.0,0.0
1748,government tax and excise officials,roofers,0.0,0.0
1749,falkland islands,saudi arabia,0.0,0.0
1750,catarratto,tocai rosso,0.0,0.0
1751,unknown kitten,spayed female kitten,0.0,0.0
1752,miami beach theater,miami beach auditorium,1.0,1.0
1753,end,layer 3 down,0.0,0.0
1754,serbia,ukraine,0.0,0.0
1755,ashb,nbrk,0.0,0.0
1756,43,"25,26",0.0,0.0
1757,spain,trinidad and tobago,0.0,0.0
1758,prep,end,0.0,0.0
1759,y,n,0.0,0.0
1760,equals_total_actual_individual_consumption,less_direct_purchases_in_domestic_market_by_non_residents,0.0,0.0
1761,low,out of service,0.0,0.0
1762,construction,"crop and animal production, hunting and related service activities",0.0,0.0
1763,usd,lclcntrlalc,0.0,0.0
1764,white swiss shepard,white swiss shepherd,1.0,1.0
1765,louisiana,kentucky,0.0,0.0
1766,eliot,kerns,0.0,0.0
1767,employeetypecovered,serviceretireebenefit_avg,0.0,0.0
1768,zambian kwacha,zambia kwacha,1.0,1.0
1769,op,25,0.0,0.0
1770,cuba,bulgaria,0.0,0.0
1771,transportation and storage,plus: taxes less subsidies on products,0.0,0.0
1772,110,962,0.0,0.0
1773,stolen property,duii,0.0,0.0
1774,isr,jey;gbr,0.0,0.0
1775,hotels and restaurants,"financial intermediation; real estate, renting and business activities",0.0,0.0
1776,exports_of_goods_and_services,equals_gross_domestic_product,0.0,0.0
1777,south africa,albania,0.0,0.0
1778,tennessee,tn,1.0,0.0
1779,layer 1 down,layer 1 up,0.0,0.0
1780,bratislava,copenhagen,0.0,0.0
1781,04o,22c,0.0,0.0
1782,darebin city council,mitchell shire council,0.0,0.0
1783,all healthcare services,all;healthcare services,1.0,1.0
1784,layer 3 up,layer 1 down,0.0,0.0
1785,tullahoma,renton,0.0,0.0
1786,435,565,0.0,0.0
1787,residential reits,restaurants,0.0,0.0
1788,apache/2.4.25 (cpanel) openssl/1.0.1e-fips mod_bwlimited/1.4,apache/2.2.13 (unix) mod_ssl/2.2.13 openssl/0.9.8e-fips-rhel5 mod_auth_passthrough/2.1 mod_bwlimited/1.4 php/5.2.10,0.0,0.0
1789,wsm,fra,0.0,0.0
1790,orange,yellow,0.0,0.0
1791,beaumont-wilshr,boise,0.0,0.0
1792,sumner,mt tabor,0.0,0.0
1793,gambling,offenses against family,0.0,0.0
1794,ec,lc,0.0,0.0
1795,liu,alg,0.0,0.0
1796,00851-0235,00804-0308,0.0,0.0
1797,smoothed 5-year,market,0.0,0.0
1798,cambodia,cruz bay,0.0,0.0
1799,town,cdp,0.0,0.0
1800,production created by,video operator,0.0,0.0
1801,arbor lodge,southwest hills,0.0,0.0
1802,"law offices of prashanthi reddy, pllc","law offices of prashanthi reddy, pllc",1.0,1.0
1803,netherlands,spain,0.0,0.0
1804,27,"10,53",0.0,0.0
1805,az,arizona,1.0,0.0
1806,y,y,1.0,1.0
1807,impmod,repre,0.0,0.0
1808,ovc9_0,npaw7_2,0.0,0.0
1809,homicide,prostitution,0.0,0.0
1810,offenses against family,trespass,0.0,0.0
